"Region","Year","Plantation","PlantationMin","PlantationMax"
"MT",2012,0,0,0
"MT",2013,0,0,0
"MT",2014,0,0,0
"MT",2015,0,0,0
"MT",2016,0,0,0
"MT",2017,0,0,0
"MT",2018,0,0,0
"MT",2019,0,0,0
"MT",2020,0,0,0
"MT",2021,0,0,0
"MT",2022,0,0,0
"MT",2023,0,0,0
"MT",2024,0,0,0
"MT",2025,0,0,0
"MT",2026,0,0,0
"MT",2027,0,0,0
"MT",2028,0,0,0
"MT",2029,0,0,0
"MT",2030,0,0,0
"MT",2031,0,0,0
"MT",2032,0,0,0
"MT",2033,0,0,0
"MT",2034,0,0,0
"MT",2035,0,0,0
"MT",2036,0,0,0
"MT",2037,0,0,0
"MT",2038,0,0,0
"MT",2039,0,0,0
"MT",2040,0,0,0
"MT",2041,0,0,0
"MT",2042,0,0,0
"MT",2043,0,0,0
"MT",2044,0,0,0
"MT",2045,0,0,0
"MT",2046,0,0,0
"MT",2047,0,0,0
"MT",2048,0,0,0
"MT",2049,0,0,0
"MT",2050,0,0,0
