ZoneID;Arable_Min;Arable_Max;Arable_slack;Arable_alloc;Arable_Price;Pastures_Min;Pastures_Max;Pastures_slack;Pastures_alloc;Pastures_Price;PermanentCrops_Min;PermanentCrops_Max;PermanentCrops_slack;PermanentCrops_alloc;PermanentCrops_Price;NewEnergyCrops_Min;NewEnergyCrops_Max;NewEnergyCrops_slack;NewEnergyCrops_alloc;NewEnergyCrops_Price;
ES11;291593;297484;0.0100004;0;;28310;28881;0.00998409;0;;10159;10364;0.00998879;0;;0;0;;0;
ES12;12528;12781;0.00999644;0;;27830;28393;0.0100137;0;;390;397;0.00889454;0;;0;0;;0;
ES13;5645;5760;0.0100833;0;;21738;22177;0.00999658;0;;238;243;0.010395;0;;0;0;;0;
ES21;52759;53824;0.00999221;0;;2721;2776;0.0100055;0;;16112;16437;0.00998495;0;;0;0;;0;
ES22;274694;280243;0.00999933;0;;0;0;;0;;30483;31098;0.00998685;0;;0;0;;0;
ES23;133280;135973;0.0100017;0;;0;0;;0;;75292;76813;0.00999967;0;;0;0;;0;
ES24;1470679;1500390;0.0100001;0;;0;0;;0;;185184;188925;0.00999976;0;;0;0;;0;
ES30;187769;191562;0.00999918;0;;49302;50298;0.01;0;;39829;40634;0.0100046;0;;0;0;;0;
ES41;3266474;3332463;0.00999994;0;;498141;508204;0.00999955;0;;74641;76148;0.0099941;0;;0;0;;0;
ES42;3692372;3766965;0.00999995;0;;80431;82056;0.0100008;0;;813460;829893;0.00999968;0;;0;0;;0;
ES43;959729;979118;0.0100003;0;;1164337;1187859;0.01;0;;309335;315584;0.0099997;0;;0;0;;0;
ES51;752013;767206;0.0100005;0;;0;0;;0;;326387;332980;0.00999898;0;;0;0;;0;
ES52;673985;687600;0.00999938;0;;33506;34183;0.0100016;0;;497540;507591;0.00999969;0;;0;0;;0;
ES53;187900;191695;0.0099975;0;;7754;7911;0.0100223;0;;55233;56348;0.00999274;0;;0;0;;0;
ES61;3645150;3718789;0.00999995;0;;846282;863379;0.0100002;0;;2099634;2142051;0.01;0;;0;0;;0;
ES62;516067;526492;0.00999943;0;;15558;15873;0.010022;0;;294694;300647;0.00999931;0;;0;0;;0;
ES63;0;0;;0;;64;65;0.00775194;0;;0;0;;0;;0;0;;0;
ES64;0;0;;0;;338;345;0.0102489;0;;0;0;;0;;0;0;;0;
ES70;50335;51352;0.0100013;0;;19944;20347;0.0100022;0;;22572;23029;0.0100217;0;;0;0;;0;

"DiscrAlloc.FeasibilityTest failed: ClaimRange(type 0 (Urban), NUTS2_merged_LUISA 1 (ES12)) = [min 8845, max 8744]: minimum > maximum; "
